hourstamp,actual_kwh,charged_price_ct,spot_ct
2026-08-06 00:00:00,6.135,42.78,9.396
2026-08-06 00:15:00,4.578,39.45,9.189
2026-08-06 00:30:00,4.473,42.5,9.061
2026-08-06 00:45:00,1.318,38.35,8.941
2026-08-06 01:00:00,0.65,38.35,8.811
2026-08-06 01:15:00,0.618,38.35,8.693
2026-08-06 01:30:00,2.369,38.35,8.646
2026-08-06 01:45:00,1.0,38.35,8.578
2026-08-06 02:00:00,0.885,38.35,8.532
2026-08-06 02:15:00,0.45,38.35,8.466
2026-08-06 02:30:00,0.401,38.35,8.456
2026-08-06 02:45:00,0.541,38.35,8.441
2026-08-06 03:00:00,0.372,38.35,8.353
2026-08-06 03:15:00,0.737,38.35,8.362
2026-08-06 03:30:00,1.142,38.35,8.417
2026-08-06 03:45:00,1.275,38.35,8.468
2026-08-06 04:00:00,0.432,38.35,8.461
2026-08-06 04:15:00,0.357,38.35,8.543
2026-08-06 04:30:00,0.45,38.35,8.719
2026-08-06 04:45:00,0.4,38.35,8.932
2026-08-06 05:00:00,0.467,38.35,8.963
2026-08-06 05:15:00,1.263,38.35,9.305
2026-08-06 05:30:00,3.376,38.35,9.594
2026-08-06 05:45:00,0.81,38.35,9.962
2026-08-06 06:00:00,5.947,40.67,10.59
2026-08-06 06:15:00,5.158,44.08,10.924
2026-08-06 06:30:00,6.506,41.09,11.065
2026-08-06 06:45:00,9.434,47.32,11.074
2026-08-06 07:00:00,5.083,51.18,12.011
2026-08-06 07:15:00,4.161,51.06,11.861
2026-08-06 07:30:00,8.945,57.1,11.668
2026-08-06 07:45:00,15.725,63.0,11.243
2026-08-06 08:00:00,15.081,63.3,11.68
2026-08-06 08:15:00,12.962,59.8,11.12
2026-08-06 08:30:00,10.244,59.45,10.64
2026-08-06 08:45:00,10.861,59.02,10.046
2026-08-06 09:00:00,12.846,58.71,9.615
2026-08-06 09:15:00,12.003,58.26,8.993
2026-08-06 09:30:00,9.541,57.94,8.56
2026-08-06 09:45:00,8.045,57.64,8.134
2026-08-06 10:00:00,13.56,57.15,7.465
2026-08-06 10:15:00,12.075,56.88,7.086
2026-08-06 10:30:00,14.097,59.92,6.845
2026-08-06 10:45:00,11.275,56.52,6.591
2026-08-06 11:00:00,10.73,56.11,6.024
2026-08-06 11:15:00,13.17,59.2,5.817
2026-08-06 11:30:00,10.329,59.12,5.712
2026-08-06 11:45:00,10.142,59.04,5.597
2026-08-06 12:00:00,12.101,58.7,5.1
2026-08-06 12:15:00,12.22,58.61,4.975
2026-08-06 12:30:00,12.56,61.86,4.953
2026-08-06 12:45:00,12.322,61.83,4.905
2026-08-06 13:00:00,14.417,61.52,4.449
2026-08-06 13:15:00,13.418,61.62,4.597
2026-08-06 13:30:00,11.82,61.7,4.726
2026-08-06 13:45:00,12.939,61.83,4.917
2026-08-06 14:00:00,14.902,64.98,4.731
2026-08-06 14:15:00,14.255,65.21,5.091
2026-08-06 14:30:00,9.007,65.45,5.465
2026-08-06 14:45:00,12.727,65.74,5.906
2026-08-06 15:00:00,19.073,65.82,6.02
2026-08-06 15:15:00,21.799,66.17,6.557
2026-08-06 15:30:00,32.08,66.45,7.002
2026-08-06 15:45:00,17.408,63.62,7.561
2026-08-06 16:00:00,20.555,63.79,7.822
2026-08-06 16:15:00,21.65,67.32,8.333
2026-08-06 16:30:00,20.797,67.59,8.755
2026-08-06 16:45:00,20.671,64.75,9.233
2026-08-06 17:00:00,29.088,65.39,10.193
2026-08-06 17:15:00,35.442,68.71,10.475
2026-08-06 17:30:00,28.918,65.81,10.81
2026-08-06 17:45:00,24.525,66.05,11.169
2026-08-06 18:00:00,20.269,66.82,12.304
2026-08-06 18:15:00,22.378,66.84,12.339
2026-08-06 18:30:00,25.851,66.96,12.511
2026-08-06 18:45:00,24.883,63.95,12.61
2026-08-06 19:00:00,24.641,64.6,13.539
2026-08-06 19:15:00,16.74,64.48,13.364
2026-08-06 19:30:00,14.6,61.35,13.254
2026-08-06 19:45:00,15.172,61.36,13.275
2026-08-06 20:00:00,17.334,61.47,13.423
2026-08-06 20:15:00,12.151,61.27,13.142
2026-08-06 20:30:00,10.285,61.1,12.914
2026-08-06 20:45:00,9.156,60.84,12.56
2026-08-06 21:00:00,10.724,57.57,12.291
2026-08-06 21:15:00,7.739,57.24,11.849
2026-08-06 21:30:00,5.906,53.93,11.572
2026-08-06 21:45:00,8.637,53.64,11.198
2026-08-06 22:00:00,6.609,50.38,11.015
2026-08-06 22:15:00,4.451,46.93,10.599
2026-08-06 22:30:00,2.564,38.35,10.386
2026-08-06 22:45:00,2.894,38.35,10.045
2026-08-06 23:00:00,3.05,38.35,9.894
2026-08-06 23:15:00,3.947,42.99,9.637
2026-08-06 23:30:00,4.603,42.83,9.456
2026-08-06 23:45:00,4.143,42.67,9.258
